"Antwort ID","Datum Abgeschickt","Letzte Seite","Start-Sprache","Zufallsstartwert","","Geschlecht","Alter","Netto-Haushaltseinkommen (insgesamt)","Höchster Bildungsabschluss und berufliche Qualifikation","Deine Postleitzahl","Dein Bundesland",""," [Die Nutzung eines Nachhaltigkeits-Dashboards wäre für mich nützlich.]"," [Ich stelle mir die Nutzung des Dashboards in meiner Umgebung angenehm vor.]"," [Die Nutzung des Dashboards wird meine Lebensqualität verbessern.]"," [Die Nutzung des Nachhaltigkeits-Dashboards wird kompliziert für mich sein. ]"," [Um sicherzustellen, dass Du die Fragen aufmerksam liest, wähle bitte bei der folgenden Aussage ""Stimme eher zu"" aus.]",""," [Mein Umfeld erwartet von mir, dass ich Technologien wie das digitale Nachhaltigkeits-Dashboard nutze.]"," [Es ist mir wichtig, den Erwartungen in meinem Umfeld bei der Nutzung von neuen Technologien wie dem Nachhaltigkeits-Dashboard gerecht zu werden.]"," [Es wird allgemein erwartet, dass ich moderne Lösungen wie das Nachhaltigkeits-Dashboard nutze.]"," [Ein einfacher Zugang zu Informationen über die Funktion und Inhalte des Dashboards erleichtern mir die Nutzung.]"," [Ein Mangel an Zeit könnte mich davon abhalten, das Nachhaltigkeits-Dashboard zu nutzen.]"," [Ich habe die erforderlichen Kenntnisse, um das Nachhaltigkeits-Dashboard in meiner Umgebung zu nutzen.]"," [Ich bin sicher, dass ich das Nachhaltigkeits-Dashboard problemlos nutzen kann.]"," [Es ist einfach für mich, Anwendungen wie das Nachhaltigkeits-Dashboard zu verstehen und zu nutzen.]"," [Ich beabsichtige, das Dashboard über Nachhaltigkeitsinformationen in naher Zukunft zu nutzen, wenn sich hierzu die Gelegenheit bietet.]"
"59","1980-01-01 00:00:00","6","de","1528853365","683d5d97-93a7-66dc-cfba-8d9a76450da7","Weiblich","36-45","3000 - unter 4000 Euro","Abgeschlossene Berufsausbildung","19999","Mecklenburg-Vorpommern","1","Stimme ich eher zu","Teils / Teils","Große Verbesserung","Kaum kompliziert","Stimme eher zu","0","Trifft überwiegend zu","Extrem wichtig","Trifft vollständig zu","Trifft eher nicht zu","Trifft überwiegend zu","Sehr gute Kenntnisse","Trifft eher nicht zu.","Stimme ich eher zu","Beabsichtigt"
"60","1980-01-01 00:00:00","6","de","74974375","683d8de2-ea6d-76dc-a2d1-d1ee7878f637","Weiblich","18-35","3000 - unter 4000 Euro","Abgeschlossene Berufsausbildung","17033","Mecklenburg-Vorpommern","1","Stimme ich zu","Stimme ich eher zu","Deutliche Verbesserung","Ein wenig kompliziert","Stimme eher zu","0","Trifft deutlich  zu","Eher wichtig","Trifft weitgehend zu","Trifft weitgehend zu","Trifft weitgehend zu","Sehr gute Kenntnisse","Trifft mehrheitlich zu.","Stimme ich eher zu","Eher beabsichtigt"
"61","1980-01-01 00:00:00","6","de","1401436978","683d8e55-ae12-67e9-061c-88f85e4e562d","Männlich","56-65","2000 - unter 3000 Euro","Abgeschlossene Berufsausbildung","18146","Mecklenburg-Vorpommern","1","Stimme ich überhaupt nicht zu","Stimme ich eher nicht zu","Geringe Verbesserung","Eher kompliziert","Stimme eher zu","0","Trifft überhaupt nicht zu","Überhaupt nicht wichtig","Trifft überhaupt nicht zu","Trifft teilweise zu","Trifft teilweise zu","Überhaupt keine Kenntnisse","Trifft überhaupt nicht zu.","Stimme ich überhaupt nicht zu","Eher nicht beabsichtigt."
"62","1980-01-01 00:00:00","6","de","1716814484","683d9014-fa41-fd49-735f-b77b1707e7c0","Männlich","36-45","1000 - unter 2000 Euro","Abgeschlossene Berufsausbildung","17493","Mecklenburg-Vorpommern","1","Stimme ich eher zu","Stimme ich eher zu","Mäßige Verbesserung","Ein wenig kompliziert","Stimme eher zu","0","Trifft überhaupt nicht zu","Mäßig wichtig","Trifft eher nicht zu","Trifft überwiegend zu","Trifft teilweise zu","Grundlegende Kenntnisse","Trifft mehrheitlich zu.","Stimme ich eher zu","Möglicherweise beabsichtigt"
"63","1980-01-01 00:00:00","6","de","1507036440","683d90cf-472c-7ffb-7bbd-4d74efec7442","Männlich","66+","5000 Euro und mehr","Abgeschlossene Berufsausbildung","17091","Mecklenburg-Vorpommern","1","Stimme ich zu","Stimme ich zu","Große Verbesserung","Ein wenig kompliziert","Stimme eher zu","0","Trifft eher nicht zu","Kaum wichtig","Trifft eher nicht zu","Trifft weitgehend zu","Trifft kaum zu","Sehr geringe Kenntnisse","Trifft überwiegend zu.","Stimme ich eher zu","Eher beabsichtigt"
"65","1980-01-01 00:00:00","6","de","923470456","683da01e-3ca8-08d1-8daf-b4901906139e","Männlich","56-65","3000 - unter 4000 Euro","Abitur","18513","Mecklenburg-Vorpommern","1","Teils / Teils","Stimme ich eher zu","Geringe Verbesserung","Kaum kompliziert","Stimme eher zu","0","Trifft deutlich  zu","Mäßig wichtig","Trifft teilweise zu","Trifft überwiegend zu","Trifft kaum zu","Gute Kenntnisse","Trifft vollkommen zu.","Stimme ich zu","Eher beabsichtigt"
"67","1980-01-01 00:00:00","6","de","1492481567","683db261-8186-5675-b9d9-f9c99cc79cd0","Männlich","66+","2000 - unter 3000 Euro","Master-Abschluss","18147","Mecklenburg-Vorpommern","1","Stimme ich vollumfänglich zu","Stimme ich vollumfänglich zu","Sehr große Verbesserung","Ein wenig kompliziert","Stimme eher zu","0","Trifft vollkommen zu","Sehr wichtig","Trifft weitgehend zu","Trifft weitgehend zu","Trifft kaum zu","Sehr gute Kenntnisse","Trifft vollkommen zu.","Stimme ich zu","Definitiv beabsichtigt"
"68","1980-01-01 00:00:00","6","de","870346181","683db821-af66-0945-3be9-5946b1962f6b","Weiblich","18-35","2000 - unter 3000 Euro","Abgeschlossene Berufsausbildung","17033","Mecklenburg-Vorpommern","1","Teils / Teils","Stimme ich eher nicht zu","Sehr geringe Verbesserung","Eher kompliziert","Stimme eher zu","0","Trifft kaum zu","Wenig wichtig","Trifft teilweise zu","Trifft teilweise zu","Trifft kaum zu","Sehr gute Kenntnisse","Trift teilweise zu.","Stimme ich nicht zu","Eher nicht beabsichtigt."
"69","1980-01-01 00:00:00","6","de","1346935832","683db945-876e-7d67-7667-8684de3910df","Weiblich","46-55","2000 - unter 3000 Euro","Abgeschlossene Berufsausbildung","19288","Mecklenburg-Vorpommern","1","Stimme ich eher zu","Teils / Teils","Mäßige Verbesserung","Ein wenig kompliziert","Stimme eher zu","0","Trifft eher nicht zu","Kaum wichtig","Trifft kaum zu","Trifft überwiegend zu","Trifft weitgehend zu","Sehr geringe Kenntnisse","Trifft eher nicht zu.","Stimme ich eher nicht zu","Möglicherweise beabsichtigt"
"70","1980-01-01 00:00:00","6","de","1500518562","683db94a-909e-d221-8018-2209da5f9bcb","Weiblich","46-55","3000 - unter 4000 Euro","Abgeschlossene Berufsausbildung","18439","Mecklenburg-Vorpommern","1","Stimme ich zu","Stimme ich eher zu","Deutliche Verbesserung","Kaum kompliziert","Stimme eher zu","0","Trifft überwiegend zu","Sehr wichtig","Trifft weitgehend zu","Trifft weitgehend zu","Trifft vollkommen zu","Ausgezeichnete Kenntnisse","Trifft überwiegend zu.","Stimme ich eher zu","Beabsichtigt"
"71","1980-01-01 00:00:00","6","de","643739072","683db9a3-9b6b-c7c4-6e66-00ca4acd659b","Weiblich","46-55","2000 - unter 3000 Euro","Abgeschlossene Berufsausbildung","17109","Mecklenburg-Vorpommern","1","Stimme ich zu","Stimme ich zu","Keine Verbesserung","Kaum kompliziert","Stimme eher zu","0","Trifft überhaupt nicht zu","Überhaupt nicht wichtig","Trifft überhaupt nicht zu","Trifft teilweise zu","Trifft teilweise zu","Sehr gute Kenntnisse","Trifft vollkommen zu.","Stimme ich zu","Beabsichtigt"
"72","1980-01-01 00:00:00","6","de","1842207481","683db9c8-a753-d633-de66-2f3f4bb333c0","Weiblich","56-65","3000 - unter 4000 Euro","Abitur","19057","Mecklenburg-Vorpommern","1","Stimme ich eher zu","Stimme ich eher zu","Deutliche Verbesserung","Ein wenig kompliziert","Stimme eher zu","0","Trifft deutlich  zu","Sehr wichtig","Trifft überwiegend zu","Trifft überwiegend zu","Trifft weitgehend zu","Grundlegende Kenntnisse","Trifft mehrheitlich zu.","Stimme ich eher zu","Eher beabsichtigt"
"73","1980-01-01 00:00:00","6","de","842163912","683dbbbf-35e9-ed7b-9b41-d7e21c256b42","Weiblich","56-65","5000 Euro und mehr","Abgeschlossene Berufsausbildung","18106","Mecklenburg-Vorpommern","1","Teils / Teils","Teils / Teils","Mäßige Verbesserung","Eher kompliziert","Stimme eher zu","0","Trifft überhaupt nicht zu","Überhaupt nicht wichtig","Trifft überhaupt nicht zu","Trifft überhaupt nicht zu","Trifft überhaupt nicht zu","Überhaupt keine Kenntnisse","Trifft überhaupt nicht zu.","Stimme ich überhaupt nicht zu","Überhaupt nicht beabsichtigt"
"75","1980-01-01 00:00:00","6","de","1399098108","683dbf98-e2d2-8c1c-2f24-2fbebac0311b","Männlich","66+","3000 - unter 4000 Euro","Master-Abschluss","18190","Mecklenburg-Vorpommern","1","Stimme ich überhaupt nicht zu","Stimme ich überhaupt nicht zu","Keine Verbesserung","Kaum kompliziert","Stimme eher zu","0","Trifft überhaupt nicht zu","Überhaupt nicht wichtig","Trifft teilweise zu","Trifft überhaupt nicht zu","Trifft überhaupt nicht zu","Gute Kenntnisse","Trifft überhaupt nicht zu.","Stimme ich eher zu","Überhaupt nicht beabsichtigt"
"76","1980-01-01 00:00:00","6","de","1054605144","683dc1d4-63b4-973a-dcea-60ee6304a440","Männlich","36-45","3000 - unter 4000 Euro","Abgeschlossene Berufsausbildung","18574","Mecklenburg-Vorpommern","1","Stimme ich überhaupt nicht zu","Stimme ich überhaupt nicht zu","Keine Verbesserung","Extrem kompliziert","Stimme eher zu","0","Trifft überhaupt nicht zu","Überhaupt nicht wichtig","Trifft überhaupt nicht zu","Trifft überhaupt nicht zu","Trifft überhaupt nicht zu","Überhaupt keine Kenntnisse","Trifft überhaupt nicht zu.","Stimme ich überhaupt nicht zu","Überhaupt nicht beabsichtigt"
"77","1980-01-01 00:00:00","6","de","1390932976","683dc340-2ce3-0622-5f2e-c6288d083c00","Weiblich","56-65","1000 - unter 2000 Euro","Mittlere Reife","17237","Mecklenburg-Vorpommern","1","Teils / Teils","Stimme ich eher zu","Deutliche Verbesserung","Ein wenig kompliziert","Stimme eher zu","0","Trifft kaum zu","Eher wichtig","Trifft teilweise zu","Trifft überwiegend zu","Trifft überwiegend zu","Geringe Kenntnisse","Trifft mehrheitlich zu.","Teils / Teils","Möglicherweise beabsichtigt"
