ID,Lösung,Projekt,Stadt,Land,Ziel,Wirkung,Interaktion,Skalierung,Reifegrad
1,E-Fahrzeugbeschaffung,Triangulum,Manchester,GB,Ökologische Nachhaltigkeit fördern,Governance,Aktiv,Personalisiert,Produkt
2,Cargo-Bike-Sharing,Triangulum,Manchester,GB,Ökologische Nachhaltigkeit fördern,IKT&Technologie,Passiv,Personalisiert,Produkt
3,Gebäude-Energiecontroller,Triangulum,Manchester,GB,Ökologische Nachhaltigkeit fördern,IKT&Technologie,Intern,Community,Produkt
4,Gebäudeenergieoptimierungen,Triangulum,Manchester,GB,Ökologische Nachhaltigkeit fördern,IKT&Technologie,Intern,Community,Commodity
5,Datenvisualisierungsplattform,Triangulum,Manchester,GB,Wissensmanagement und Wissensaustausch fördern,Dienstleistung,Passiv,Community,Individuell angepasst
6,Datenkuratierungsdienst,Triangulum,Manchester,GB,Ökonomische Wettbewerbsfähigkeit fördern,Governance,Intern,Stadtweit,Produkt
7,Sensornetzwerk öffentlicher Raum,Triangulum,Manchester,GB,Dienstleistungen effizienter erbringen,IKT&Technologie,Passiv,Community,Individuell angepasst
8,E-Auto-Ladesystem,Triangulum,Eindhoven,NL,Dienstleistungen effizienter erbringen,Dienstleistung,Passiv,Community,Produkt
9,Echtzeit-Parkleitsystem,Triangulum,Eindhoven,NL,Wissensmanagement und Wissensaustausch fördern,Infrastruktur,Passiv,Stadtweit,Produkt
10,Biomasseanlage Wärmeversorgung,Triangulum,Eindhoven,NL,Ökologische Nachhaltigkeit fördern,Infrastruktur,Intern,Community,Produkt
11,Fernsteuerung Büroenergie,Triangulum,Eindhoven,NL,Ökologische Nachhaltigkeit fördern,Infrastruktur,Intern,Community,Commodity
12,Renovierung Familienhäuser,Triangulum,Eindhoven,NL,Ökologische Nachhaltigkeit fördern,Infrastruktur,Intern,Community,Commodity
13,Open Data Plattform,Triangulum,Eindhoven,NL,Wissensmanagement und Wissensaustausch fördern,Dienstleistung,Passiv,Community,Individuell angepasst
14,Smart City Innovationsfonds,Triangulum,Eindhoven,NL,Ökonomische Wettbewerbsfähigkeit fördern,Governance,Aktiv,Stadtweit,Commodity
15,3D-IKT-Tool Energiesanierung,Triangulum,Eindhoven,NL,Wissensmanagement und Wissensaustausch fördern,Dienstleistung,Intern,Personalisiert,Produkt
16,Intelligente Straßenbeleuchtung,Triangulum,Eindhoven,NL,Bürgerbeteiligung stärken,Infrastruktur,Passiv,Personalisiert,Produkt
17,Glasfaser-Dateninfrastruktur,Triangulum,Eindhoven,NL,Ökonomische Wettbewerbsfähigkeit fördern,Infrastruktur,Passiv,Stadtweit,Commodity
18,Öffentliche Ladeinfrastruktur,Remourban,Valladolid,ES,Ökologische Nachhaltigkeit fördern,Infrastruktur,Passiv,Stadtweit,Produkt
19,Carsharing-System,Remourban,Valladolid,ES,Dienstleistungen effizienter erbringen,IKT&Technologie,Passiv,Personalisiert,Produkt
20,Neue öffentliche Busflotte,Remourban,Valladolid,ES,Dienstleistungen effizienter erbringen,IKT&Technologie,Passiv,Community,Produkt
21,Energieeffiziente Stadtteilsanierung,Remourban,Valladolid,ES,Ökologische Nachhaltigkeit fördern,Infrastruktur,Intern,Community,Produkt
22,Städtisches Informationssystem,Remourban,Valladolid,ES,Wissensmanagement und Wissensaustausch fördern,Dienstleistung,Passiv,Stadtweit,Produkt
23,E-Bus-Flotte und Infrastruktur,Remourban,Nottingham,GB,Ökologische Nachhaltigkeit fördern,Infrastruktur,Passiv,Stadtweit,Produkt
24,Ultra-Low-Energy-Gebäudesanierung,Remourban,Nottingham,GB,Ökologische Nachhaltigkeit fördern,Infrastruktur,Intern,Community,Produkt
25,Niedertemperaturheizung intelligent,Remourban,Nottingham,GB,Ökologische Nachhaltigkeit fördern,Infrastruktur,Intern,Community,Produkt
26,Echtzeit-Energie-Monitoring,Remourban,Nottingham,GB,Wissensmanagement und Wissensaustausch fördern,Dienstleistung,Passiv,Personalisiert,Produkt
27,PV-Integration City on Cloud,Remourban,Tepebasi,TR,Ökologische Nachhaltigkeit fördern,IKT&Technologie,Intern,Community,Produkt
28,City on Cloud Plattform,Remourban,Tepebasi,TR,Dienstleistungen effizienter erbringen,Dienstleistung,Intern,Community,Individuell angepasst
29,Smarte LED-Straßenbeleuchtung,Remourban,Tepebasi,TR,Ökologische Nachhaltigkeit fördern,Infrastruktur,Passiv,Personalisiert,Produkt
30,E-Fahrrad-Verleihsystem,Remourban,Tepebasi,TR,Ökologische Nachhaltigkeit fördern,Infrastruktur,Passiv,Stadtweit,Produkt
31,E-Fahrzeug-Ladeinfrastruktur,GrowSmarter,Barcelona,ES,Ökologische Nachhaltigkeit fördern,Infrastruktur,Passiv,Stadtweit,Produkt
32,Intelligentes Taxistand-System,GrowSmarter,Barcelona,ES,Wissensmanagement und Wissensaustausch fördern,Infrastruktur,Passiv,Personalisiert,Produkt
33,E-Cargobike-Citylogistik,GrowSmarter,Barcelona,ES,Ökologische Nachhaltigkeit fördern,Dienstleistung,Passiv,Personalisiert,Produkt
