"Antwort ID","Datum Abgeschickt","Letzte Seite","Start-Sprache","Zufallsstartwert","","Geschlecht","Alter","Netto-Haushaltseinkommen insgesamt","Höchster Bildungsabschluss bzw. berufliche Qualifikation","Dein Bundesland","Deine Postleitzahl",""," [Die Nutzung dieser urbanen AR-Anwendung wäre für mich nützlich.]"," [Ich stelle mir die Nutzung dieser AR-Anwendung in der Stadt angenehm vor.]"," [Die Nutzung dieser AR-Anwendung wird meine Lebensqualität in der Stadt verbessern.]"," [Durch die Nutzung dieser AR-Anwendung würde ich Zeit bei der Suche nach Informationen in der Stadt sparen.]"," [Die Nutzung von Augmented-Reality-Anwendungen wird für mich kompliziert sein. ]"," [Um sicherzustellen, dass Du die Fragen aufmerksam liest, wähle bitte bei der folgenden Aussage ""Stimme eher zu"" aus.]",""," [Es ist mir wichtig, den Erwartungen meiner Freunde hinsichtlich der Nutzung dieser urbanen AR-Anwendung zu entsprechen.]"," [Es ist mir wichtig, den Erwartungen von weiteren Personen in meinem Umfeld bei der Nutzung neuer Technologien wie Augmented-Reality-Anwendungen  zu entsprechen.]"," [Mein Umfeld ist der Meinung, dass es vorteilhaft wäre, wenn ich moderne Technologien wie Augmented-Reality-Anwendungen nutze.]"," [Ich glaube, dass ich in meinem Alltag genügend Gelegenheiten haben werde, diese AR-Anwendung sinnvoll zu nutzen.]"," [Ich habe die notwendigen Ressourcen (z.B. ein kompatibles Smartphone), um diese urbane AR-Anwendung zu nutzen.]"," [Ein einfacher Zugang zu Informationen über diese urbane AR-Anwendung würde mir die Verwendung erleichtern.]"," [Ich habe die erforderlichen Kenntnisse, um Augmented-Reality Anwendungen in meiner Stadt zu nutzen.]"," [Ich habe die Kontrolle darüber, Augmented-Reality-Anwendungen zu nutzen.]"," [Ich bin sicher, dass ich Augmented-Reality-Anwendungen nutzen kann, wenn ich möchte.]"," [Es ist einfach für mich, Augmented-Reality-Anwendungen in der Stadt zu nutzen.]"," [Ich beabsichtige, diese AR-Anwendung für Stadtinformationen in naher Zukunft zu nutzen, wenn sie verfügbar ist.]"
"52","1980-01-01 00:00:00","6","de","1073219170","6839d09b-48f5-3ff2-4e96-a72ad725833e","Weiblich","18-35","2000 - unter 3000 Euro","Master-Abschluss","Bayern","80337","0","Stimme ich eher nicht zu","Trifft eher nicht zu","Sehr geringe Verbesserung","Sehr geringe Zeitersparnis","Ein wenig kompliziert","Stimme eher zu","0","Trifft teilweise zu","Wenig wichtig","Trifft kaum zu","Trifft teilweise zu","Trifft teilweise zu","Wahrscheinlich","Sehr gute Kenntnisse","Sehr geringe Kontrolle","Unsicher","Trifft überwiegend zu","Eher nicht beabsichtigt"
"56","1980-01-01 00:00:00","6","de","1185545724","683d5b8c-7e35-cdbe-c9dd-eefea2ad3b37","Weiblich","36-45","2000 - unter 3000 Euro","Master-Abschluss","Bayern","86999","0","Teils / Teils","Trifft eher zu","Deutliche Verbesserung","Geringe Zeitersparnis","Kompliziert","Stimme eher zu","0","Trifft teilweise zu","Wenig wichtig","Trifft überwiegend zu","Trifft teilweise zu","Trifft eher nicht zu","Wahrscheinlich","Sehr gute Kenntnisse","Weitgehende Kontrolle","Sehr sicher","Trifft vollständig  zu","Eher nicht beabsichtigt"
"57","1980-01-01 00:00:00","6","de","173606602","683d8e2a-557e-cacb-b5df-90a4bba232d6","Weiblich","46-55","4000 - unter 5000 Euro","Abgeschlossene Berufsausbildung","Bayern","84307","0","Stimme ich eher zu","Trifft weitgehend zu","Geringe Verbesserung","Mäßige Zeitersparnis","Ein wenig kompliziert","Stimme eher zu","0","Trifft teilweise zu","Wenig wichtig","Trifft überwiegend zu","Trifft teilweise zu","Trifft teilweise zu","Wahrscheinlich","Grundlegende Kenntnisse","Weitgehende Kontrolle","Ziemlich sicher","Trifft teilweise zu","Eher beabsichtigt"
"59","1980-01-01 00:00:00","6","de","1969390992","683d8e89-a2a3-6ba9-59b4-ef34c769fe8c","Weiblich","56-65","3000 - unter 4000 Euro","Abitur","Bayern","85521","0","Stimme ich überhaupt nicht zu","Überhaupt überhaupt nicht zu","Keine Verbesserung","Überhaupt keine Zeitersparnis","Extrem kompliziert","Stimme eher zu","0","Trifft überhaupt nicht zu","Überhaupt nicht wichtig","Trifft überhaupt nicht zu","Trifft überhaupt nicht zu","Trifft überhaupt nicht zu","Überhaupt nicht wahrscheinlich","Überhaupt keine Kenntnisse","Überhaupt keine Kontrolle","Unsicher","Trifft überhaupt nicht zu","Überhaupt nicht beabsichtigt"
"64","1980-01-01 00:00:00","6","de","918898485","683d92b3-56a7-ed47-c52e-be4b282ecee4","Männlich","66+","3000 - unter 4000 Euro","Doktorgrad","Bayern","85356","0","Stimme ich nicht zu","Trifft eher nicht zu","Sehr geringe Verbesserung","Deutliche Zeitersparnis","Kompliziert","Stimme eher zu","0","Trifft eher nicht zu","Überhaupt nicht wichtig","Trifft eher nicht zu","Trifft kaum zu","Trifft überhaupt nicht zu","Eher wahrscheinlich","Sehr geringe Kenntnisse","Sehr geringe Kontrolle","Wenig sicher","Trifft nicht zu","Nicht beabsichtigt"
"66","1980-01-01 00:00:00","6","de","1940162464","683d9445-9c39-c684-e40b-cccd4c987163","Männlich","66+","2000 - unter 3000 Euro","Master-Abschluss","Bayern","86163","0","Stimme ich zu","Trifft zu","Sehr geringe Verbesserung","Sehr geringe Zeitersparnis","Überhaupt nicht kompliziert","Stimme eher zu","0","Trifft überhaupt nicht zu","Überhaupt nicht wichtig","Trifft überhaupt nicht zu","Trifft weitgehend zu","Trifft weitgehend zu","Sehr wahrscheinlich","Sehr gute Kenntnisse","Starke Kontrolle","Sehr sicher","Trifft weitgehend zu","Beabsichtigt"
"67","1980-01-01 00:00:00","6","de","2104167811","683d96bf-5360-2201-61db-0fd8af1f89d7","Männlich","46-55","5000 Euro und mehr","Abitur","Bayern","82293","0","Stimme ich überhaupt nicht zu","Trifft nicht zu","Keine Verbesserung","Geringe Zeitersparnis","Kompliziert","Stimme eher zu","0","Trifft überhaupt nicht zu","Überhaupt nicht wichtig","Trifft überhaupt nicht zu","Trifft teilweise zu","Trifft überwiegend zu","Unwahrscheinlich","Gute Kenntnisse","Geringe Kontrolle","Ziemlich sicher","Trifft überwiegend zu","Überhaupt nicht beabsichtigt"
"70","1980-01-01 00:00:00","6","de","1203976029","683d9c15-bd74-0f27-97cf-6abf55033a6f","Weiblich","56-65","1000 - unter 2000 Euro","Mittlere Reife","Bayern","82515","0","Stimme ich nicht zu","Trifft nicht zu","Sehr geringe Verbesserung","Sehr geringe Zeitersparnis","Kaum kompliziert","Stimme eher zu","0","Trifft überhaupt nicht zu","Überhaupt nicht wichtig","Trifft überhaupt nicht zu","Trifft überhaupt nicht zu","Trifft überwiegend zu","Sehr unwahrscheinlich","Sehr geringe Kenntnisse","Weitgehende Kontrolle","Ziemlich sicher","Trifft eher nicht zu","Überhaupt nicht beabsichtigt"
"73","1980-01-01 00:00:00","6","de","1160351965","683da0b4-38a6-7e19-47cd-a746e378e6b5","Männlich","18-35","2000 - unter 3000 Euro","Abgeschlossene Berufsausbildung","Bayern","85080","0","Teils / Teils","Trifft zu","Mäßige Verbesserung","Sehr große Zeitersparnis","Kaum kompliziert","Stimme eher zu","0","Trifft kaum zu","Überhaupt nicht wichtig","Trifft teilweise zu","Trifft kaum zu","Trifft weitgehend zu","Eher wahrscheinlich","Geringe Kenntnisse","Vollständige Kontrolle","Wenig sicher","Trifft eher nicht zu","Möglicherweise beabsichtigt"
"75","1980-01-01 00:00:00","6","de","1887339830","683da382-df82-9758-5ace-e24b10a2deaa","Männlich","56-65","3000 - unter 4000 Euro","Bachelor-Abschluss","Bayern","83024","0","Stimme ich eher nicht zu","Trifft eher nicht zu","Geringe Verbesserung","Mäßige Zeitersparnis","Kompliziert","Stimme eher zu","0","Trifft überhaupt nicht zu","Überhaupt nicht wichtig","Trifft eher nicht zu","Trifft kaum zu","Trifft überwiegend zu","Wenig wahrscheinlich","Geringe Kenntnisse","Weitgehende Kontrolle","Ziemlich sicher","Trifft teilweise zu","Nicht beabsichtigt"
