ID,Lösung,Stadt,Ziel,Wirkung,Interaktion,Skalierung,Reifegrad
1,Digitalisierung des Parkraummanagements,Bochum,Dienstleistungen effizienter erbringen,IKT&Technologie,Interaktiv,Community,Produkt
2,Freies WLAN Innenstadt und ÖPNV,Bochum,Dienstleistungen effizienter erbringen,IKT&Technologie,Interaktiv,Community,Produkt
3,Flächendeckendes LoRaWAN,Bochum,Ökonomische Wettbewerbsfähigkeit fördern,IKT&Technologie,Passiv,Community,Commodity
4,Bürger Echo,Bochum,Bürgerbeteiligung stärken,Dienstleistung,Aktiv,Stadtweit,Produkt
5,ShiftDigital,Bochum,Dienstleistungen effizienter erbringen,IKT&Technologie,Passiv,Community,Produkt
6,Consul Online-Beteiligungsplattform,Detmold,Bürgerbeteiligung stärken,IKT&Technologie,Aktiv,Stadtweit,Produkt
7,DorfFunk App,Detmold,Bürgerbeteiligung stärken,Dienstleistung,Aktiv,Community,Produkt
8,Digitales Objektgutachten,Detmold,Wissensmanagement und Wissensaustausch fördern,IKT&Technologie,Intern,Community,Produkt
9,Serviceportal-Lösung,Detmold,Dienstleistungen effizienter erbringen,Dienstleistung,Passiv,Stadtweit,Commodity
10,Appmold - Smart City App,Detmold,Dienstleistungen effizienter erbringen,Dienstleistung,Passiv,Stadtweit,Produkt
11,Urban Platform,Dresden,Wissensmanagement und Wissensaustausch fördern,Dienstleistung,Passiv,Stadtweit,Commodity
12,E-Parkschein App (Handyparken),Dresden,Dienstleistungen effizienter erbringen,Dienstleistung,Passiv,Personalisiert,Produkt
13,Straßenkunst-App,Dresden,Dienstleistungen effizienter erbringen,Dienstleistung,Passiv,Community,Produkt
14,Dreck-weg-App,Dresden,Bürgerbeteiligung stärken,Dienstleistung,Interaktiv,Stadtweit,Produkt
15,Neues Verwaltungszentrum (VWZ),Dresden,Dienstleistungen effizienter erbringen,Infrastruktur,Interaktiv,Stadtweit,Commodity
16,Unabhängiges Bürgernetz mit Zugang zum Internet,Einbeck,Dienstleistungen effizienter erbringen,IKT&Technologie,Passiv,Community,Commodity
17,360 Grad Zoom Einbeck Plattform,Einbeck,Ökonomische Wettbewerbsfähigkeit fördern,IKT&Technologie,Passiv,Community,Produkt
18,Einrichtung einer website der Stadtjugendpflege,Einbeck,Wissensmanagement und Wissensaustausch fördern,Dienstleistung,Intern,Community,Commodity
19,Aufbau einer Multi-Channel-Datenbank,Einbeck,Wissensmanagement und Wissensaustausch fördern,IKT&Technologie,Passiv,Community,Commodity
20,Entwicklung des front-ends für eGovernmentangebote,Einbeck,Dienstleistungen effizienter erbringen,Dienstleistung,Passiv,Personalisiert,Produkt
21,Umrüstung Straßenbeleuchtung auf LED + Steuerung,Geestland,Ökologische Nachhaltigkeit fördern,Infrastruktur,Intern,Personalisiert,Commodity
22,Installation Solaranlage Dach Rathaus in Langen,Geestland,Ökologische Nachhaltigkeit fördern,Infrastruktur,Intern,Community,Produkt
23,E-Mobilität in der Verwaltung,Geestland,Ökologische Nachhaltigkeit fördern,IKT&Technologie,Passiv,Community,Produkt
24,Bürgerbeteiligung Ideenkarte Klima-/Umweltschutz,Geestland,Bürgerbeteiligung stärken,Dienstleistung,Aktiv,Stadtweit,Produkt
25,Digitalisierung Haus-& Gebäudeakten im Baubereich,Geestland,Wissensmanagement und Wissensaustausch fördern,IKT&Technologie,Intern,Community,Commodity
26,Dynamisches Wärmekataster DynamiKa,Gießen,Ökologische Nachhaltigkeit fördern,Governance,Interaktiv,Personalisiert,Produkt
27,Beteiligungsplattform Unsere Heimat - unser Klima,Gießen,Ökologische Nachhaltigkeit fördern,Dienstleistung,Interaktiv,Stadtweit,Individuell angepasst
28,Digitales Dorfleben,Gießen,Bürgerbeteiligung stärken,Dienstleistung,Interaktiv,Personalisiert,Commodity
29,Freie WLAN Hotspots,Guben,Wissensmanagement und Wissensaustausch fördern,IKT&Technologie,Passiv,Community,Individuell angepasst
30,Smarte Straßenbeleuchtung,Guben,Dienstleistungen effizienter erbringen,Infrastruktur,Passiv,Personalisiert,Produkt
31,GLT Gebäudeleittechnik der Stadtwerke Guben,Guben,Ökologische Nachhaltigkeit fördern,Infrastruktur,Intern,Community,Produkt
32,Stadtbibliothek Guben,Guben,Wissensmanagement und Wissensaustausch fördern,Dienstleistung,Interaktiv,Personalisiert,Commodity
33,Guben-Gubin App Zwei Rathäuser-eine Eurostadt,Guben,Wissensmanagement und Wissensaustausch fördern,Dienstleistung,Passiv,Personalisiert,Produkt
34,SMARTilience - smartes Steuerungsmodell,Halle (Saale),Ökologische Nachhaltigkeit fördern,IKT&Technologie,Intern,Community,Commodity
35,Intelligente Verkehrssysteme - Mobile M.app,Halle (Saale),Wissensmanagement und Wissensaustausch fördern,Dienstleistung,Passiv,Personalisiert,Commodity
36,Digitales POI-Informationssystem,Halle (Saale),Wissensmanagement und Wissensaustausch fördern,Dienstleistung,Passiv,Community,Produkt
37,Wiederherstellung Mitteldeutschen Multimediazentr.,Halle (Saale),Ökonomische Wettbewerbsfähigkeit fördern,Stakeholder,Interaktiv,Community,Commodity
38,Machbarkeitsstudie: Digital Agentur Weserbergland,Hameln-Pyrmont,Ökonomische Wettbewerbsfähigkeit fördern,Stakeholder,Interaktiv,Community,Commodity
39,On-Demand Verkehre im ländlichen Raum,Hameln-Pyrmont,Dienstleistungen effizienter erbringen,IKT&Technologie,Passiv,Stadtweit,Produkt
40,ZediTA - Zentrum f. digit. Transform. u. Arbeit,Hameln-Pyrmont,Ökonomische Wettbewerbsfähigkeit fördern,Stakeholder,Interaktiv,Community,Commodity
41,GIS-Büro – Kooperative Datenplattform,Hameln-Pyrmont,Wissensmanagement und Wissensaustausch fördern,IKT&Technologie,Passiv,Community,Commodity
42,Praxis in Sicht - med. Versorgung im ländl. Raum,Hameln-Pyrmont,Bürgerbeteiligung stärken,Stakeholder,Interaktiv,Community,Commodity
43,Digitaler Zwilling,Hannover,Wissensmanagement und Wissensaustausch fördern,IKT&Technologie,Intern,Community,Commodity
44,Verkehrsmanagementsystem HannoVerKehr,Hannover,Ökologische Nachhaltigkeit fördern,IKT&Technologie,Passiv,Stadtweit,Produkt
45,Initiative Urbane Logistik Hannover,Hannover,Ökologische Nachhaltigkeit fördern,IKT&Technologie,Passiv,Community,Produkt
46,Klimaschutzprogramm 2035,Hannover,Ökologische Nachhaltigkeit fördern,IKT&Technologie,Passiv,Stadtweit,Produkt
47,Initiative Hannover - Lust auf Fahrrad,Hannover,Ökologische Nachhaltigkeit fördern,Governance,Passiv,Community,Commodity
48,Green City Plan Hildesheim,Hildesheim,Ökologische Nachhaltigkeit fördern,IKT&Technologie,Passiv,Stadtweit,Produkt
49,HI-X-Digihub für Niedersachsen,Hildesheim,Wissensmanagement und Wissensaustausch fördern,Infrastruktur,Interaktiv,Community,Commodity
50,Kultur-Stream aus dem Ratskeller des Rathauses,Hildesheim,Bürgerbeteiligung stärken,Dienstleistung,Passiv,Community,Commodity
51,HildeShop – Online-Plattform für Gewerbetreibende,Hildesheim,Ökonomische Wettbewerbsfähigkeit fördern,Dienstleistung,Interaktiv,Community,Produkt
52,Schaffung einer breitbandigen Infrastruktur,Hildesheim,Ökonomische Wettbewerbsfähigkeit fördern,Infrastruktur,Passiv,Stadtweit,Commodity
53,Modellprojekt Smart Country Side,Höxter,Wissensmanagement und Wissensaustausch fördern,Dienstleistung,Passiv,Stadtweit,Commodity
54,Digitale Kompetenz im ländlichen Raum,Höxter,Wissensmanagement und Wissensaustausch fördern,Dienstleistung,Interaktiv,Personalisiert,Commodity
55,Dorf.Zukunft.Digital (DZD),Höxter,Wissensmanagement und Wissensaustausch fördern,Dienstleistung,Passiv,Personalisiert,Commodity
56,Smart Farm OWL / Mobile Smart Farm,Höxter,Wissensmanagement und Wissensaustausch fördern,Dienstleistung,Interaktiv,Community,Commodity
57,Smarte Gesundheits- und Pflegeversorgung,Höxter,Wissensmanagement und Wissensaustausch fördern,Dienstleistung,Passiv,Personalisiert,Commodity
